,Geography :: United States,,,,,,My Metrix,,,,,
,Universe :: Home and Work,,,,,,"(c)2014 comScore, Inc",,,,,
,Time Period :: December 2013,,,,,,,,,,,
,Target :: Total Audience,,,,,,,,,,,
,Media :: Top 100 Properties [Undup.],,,,,,,,,,,
,Date :: 7/3/2014,,,,,,,,,,,
,,,,,,,,,,,,
,Category,Total Unique Visitors (000),% Reach,% Composition Unique Visitors,Composition Index UV,Composition Index PV,Average Daily Visitors (000),Total Minutes (MM),Total Pages Viewed (MM),Total Visits (000),Average Minutes per Visit,Average Visits per Visitor
            Answers.com Travel And Places,"Travel - Information, Travel",1947.368,0.869,100,100,100,77.528,3.65,4.009,2484.686,1.469,1.276
            Answers.com Relationships,Lifestyles,1866.02,0.833,100,100,100,303.518,10.423,18.363,9607.779,1.085,5.149
            Answers.com Food And Cooking,"Lifestyles, Lifestyles - Food",1689.391,0.754,100,100,100,60.78,2.519,3.001,1905.013,1.322,1.128
            Answers.com Animal Life,"Lifestyles, Lifestyles - Pets",1370.143,0.612,100,100,100,56.259,2.417,2.87,1807.987,1.337,1.32
            Answers.com Home And Garden,"Lifestyles, Lifestyles - Home",1238.378,0.553,100,100,100,52.762,1.933,2.097,1689.655,1.144,1.364
            Answers.com Sports,Sports,1182.104,0.528,100,100,100,45.231,1.759,2.26,1439.35,1.222,1.218
            Answers.com Religion And Spirituality,"Lifestyles, Lifestyles - Religion/Spirituality",1134.624,0.506,100,100,100,48.985,2.311,2.429,1604.991,1.44,1.415
            Answers.com Law And Legal Issues,"Business/Finance, Business/Finance - Personal Finance",1124.926,0.502,100,100,100,41.105,2.002,2.33,1341.379,1.492,1.192
            Answers.com Hobbies And Collectibles,"Retail - Toys, Retail",753.095,0.336,100,100,100,29.782,1.651,1.487,962.476,1.716,1.278
            Answers.com Shopping,Retail,701.537,0.313,100,100,100,29.656,1.037,1.161,931.556,1.113,1.328
            Answers.com Coupons,"Services - Coupons, Services",388.351,0.173,100,100,100,17.479,0.401,0.868,552.881,0.725,1.424
            Answers.com Local,Regional/Local,215.309,0.096,100,100,100,6.502,0.364,0.416,229.905,1.584,1.068
            Answers.com Humor And Amusement,"Entertainment, Entertainment - Humor",112.154,0.05,100,100,100,4.535,0.101,0.16,146.675,0.688,1.308
        RESELLERRATINGS.COM,"Retail - Comparison Shopping, Retail",533.546,0.238,100,100,100,12.738,1.167,1.282,568.651,2.053,1.066
    Linkedin,"Social Media - Social Networking, Social Media",45595.172,20.35,100,100,100,5398.659,776.938,1082.424,225760.365,3.441,4.951
        LINKEDIN.COM,"Social Media - Social Networking, Social Media",41903.693,18.702,100,100,100,5071.565,760.229,1067.137,214289.153,3.548,5.114
        SLIDESHARE.NET,"Social Media, Social Media - Social Networking",5936.047,2.649,100,100,100,265.955,13.538,14.572,8806.724,1.537,1.484
        PULSE.ME,Technology,96.812,0.043,100,100,,,,,,,
    Viacom Digital,Entertainment,43712.34,19.509,100,100,100,2899.653,957.102,797.105,116304.758,8.229,2.661
        MTV Music Group,"Entertainment, Entertainment - Music",18869.078,8.422,100,100,100,933.128,157.65,166.984,34769.358,4.534,1.843
            MTV,"Entertainment, Entertainment - Music",9884.985,4.412,100,100,100,364.406,73.792,70.403,14940.643,4.939,1.511
                MTV.COM,"Entertainment, Entertainment - Music",6407.271,2.86,100,100,100,242.316,65.044,59.278,10585.015,6.145,1.652
                LYRICSMODE.COM,"Entertainment, Entertainment - Music",2137.26,0.954,100,100,100,94.877,4.517,4.959,3041.321,1.485,1.423
                EVENTFUL.COM*,Regional/Local,1476.673,0.659,100,100,100,80.879,3.082,5.344,2592.836,1.189,1.756
                MTV UK,"Entertainment, Entertainment - Music",111.2,0.05,100,100,100,4.293,0.113,0.248,135.086,0.836,1.215
                    MTV.CO.UK,"Entertainment, Entertainment - Music",108.373,0.048,100,100,100,4.149,0.111,0.243,130.613,0.849,1.205
                TR3S.COM,"Entertainment - TV, Entertainment",31.282,0.014,100,100,,,,,,,
                MTV Europe,"Entertainment, Entertainment - Music",24.765,0.011,100,100,,,,,,,
                    MTV.TV,"Entertainment, Entertainment - Music",23.656,0.011,100,100,,,,,,,
                    MTVEMA.COM Europe,"Entertainment, Entertainment - Music",1.156,0.001,100,100,,,,,,,
                Rockband,"Games - Gaming Information, Games",24.132,0.011,100,100,100,0.838,0.045,0.069,25.988,1.742,1.077
                    ROCKBAND.COM,"Games, Games - Gaming Information",24.132,0.011,100,100,100,0.838,0.045,0.069,25.988,1.742,1.077
                MTVK.COM,"Entertainment, Entertainment - Music",7.149,0.003,100,100,,,,,,,
                MTVEMA.COM*,"Entertainment, Entertainment - Music",4.256,0.002,100,100,,,,,,,
                REALWORLDDAILIES.COM,Entertainment,0.788,0,100,100,,,,,,,
                JERSEYSHOREDAILIES.COM,Entertainment,0.121,0,100,100,,,,,,,
            MTVU,News/Information,4210.047,1.879,100,100,100,205.247,35.857,57.136,6988.085,5.131,1.66
                RATEMYPROFESSORS.COM,"Education, Education - Information",3191.65,1.424,100,100,100,159.899,34.101,54.488,5531.3,6.165,1.733
                College Publisher Network,News/Information,1065.984,0.476,100,100,100,44.529,1.603,2.413,1421.417,1.128,1.333
                    DAILYEMERALD.COM,"News/Information - General News, News/Information",95.021,0.042,100,100,100,3.969,0.148,0.219,137.044,1.077,1.442
                    MICHIGANDAILY.COM,News/Information,80.62,0.036,100,100,,,,,,,
                    BROWNDAILYHERALD.COM,News/Information,45.671,0.02,100,100,,,,,,,
                    DUKECHRONICLE.COM,News/Information,35.569,0.016,100,100,,,,,,,
                    DAILYILLINI.COM,"News/Information, News/Information - General News",31.425,0.014,100,100,,,,,,,
                    LSUREVEILLE.COM,News/Information,29.123,0.013,100,100,,,,,,,
                    IOWASTATEDAILY.COM,News/Information,26.311,0.012,100,100,,,,,,,
                    KYKERNEL.COM,News/Information,20.236,0.009,100,100,,,,,,,
                    REDANDBLACK.COM,News/Information,18.3,0.008,100,100,,,,,,,
                    CORNELLSUN.COM,News/Information,16.833,0.008,100,100,,,,,,,
                    DAILYTARHEEL.COM,"Education, Education - Information",15.915,0.007,100,100,,,,,,,
                    DAILYTEXANONLINE.COM,News/Information,11.695,0.005,100,100,,,,,,,
                    DAILYPENNSYLVANIAN.COM,"News/Information - General News, News/Information",9.335,0.004,100,100,,,,,,,
                    OUDAILY.COM,News/Information,6.021,0.003,100,100,,,,,,,
                    DAILYTROJAN.COM,News/Information,5.691,0.003,100,100,,,,,,,
                    THEBATT.COM,News/Information,4.545,0.002,100,100,,,,,,,
                    DAILYORANGE.COM,News/Information,4.504,0.002,100,100,,,,,,,
                    UPRESSONLINE.COM,News/Information,3.957,0.002,100,100,,,,,,,
                    TUFTSDAILY.COM,News/Information,2.371,0.001,100,100,,,,,,,
                    DAILYCOLLEGIAN.COM,News/Information,1.692,0.001,100,100,,,,,,,
                    DAILYCAMPUS.COM,News/Information,0.866,0,100,100,,,,,,,
                MTVU.COM,"Entertainment, Entertainment - Music",11.409,0.005,100,100,,,,,,,
                DARFURISDYING.COM,Games,1.724,0.001,100,100,,,,,,,
            LYRICSFREAK.COM,"Entertainment - Music, Entertainment",2397.284,1.07,100,100,100,111.741,4.801,4.666,3554.78,1.351,1.483
            VH1,"Entertainment - Music, Entertainment",1649.234,0.736,100,100,100,81.604,16.75,16.958,3457.941,4.844,2.097
                VH1.COM,"Entertainment - Music, Entertainment",1648.351,0.736,100,100,100,81.584,16.747,16.955,3457.13,4.844,2.097
                VH1LA.COM,"Entertainment - Music, Entertainment",0.149,0,100,100,,,,,,,
            Nextmovie,"Entertainment, Entertainment - Movies",1568.913,0.7,100,100,100,75.139,3.262,4.263,2394.561,1.362,1.526
                NEXTMOVIE.COM,"Entertainment - Movies, Entertainment",334.687,0.149,100,100,100,12.583,0.378,0.516,395.678,0.955,1.182
                FILM.COM,"Entertainment - Movies, Entertainment",26.009,0.012,100,100,,,,,,,
            LOGOonline,"Lifestyles - Gay/Lesbian, Lifestyles",1105.581,0.493,100,100,100,60.289,9.464,8.725,2112.406,4.48,1.911
                NEWNOWNEXT.COM,"Lifestyles, Lifestyles - Gay/Lesbian",589.867,0.263,100,100,100,31.357,1.795,1.357,973.76,1.843,1.651
                LOGOTV.COM,"Lifestyles - Gay/Lesbian, Lifestyles",219.916,0.098,100,100,100,6.925,3.45,3.176,340.378,10.134,1.548
                AFTERELLEN.COM,"Lifestyles - Gay/Lesbian, Lifestyles",201.731,0.09,100,100,100,28.067,2.228,1.698,906.275,2.459,4.492
                THEBACKLOT.COM,Entertainment,175.108,0.078,100,100,100,20.285,1.495,1.413,680.258,2.198,3.885
                DOWNELINK.COM,"Social Media - Social Networking, Social Media",11.805,0.005,100,100,,,,,,,
            CMT,"Entertainment - Music, Entertainment",759.387,0.339,100,100,100,54.53,5.233,4.573,1797.688,2.911,2.367
                CMT.COM,"Entertainment - Music, Entertainment",749.482,0.335,100,100,100,54.019,5.2,4.477,1782.663,2.917,2.379
                ACMCOUNTRY.COM,"Entertainment - Music, Entertainment",15.214,0.007,100,100,,,,,,,
            XFire,"Services, Services - Instant Messengers",156.293,0.07,100,100,,34.198,0,0,,,
                Xfire Instant Messenger (App),"Services, Services - Instant Messengers",156.293,0.07,100,100,,34.198,0,0,,,
            LYRICSTY.COM,"Entertainment - Music, Entertainment",122.305,0.055,100,100,100,5.388,0.111,0.195,165.745,0.672,1.355
            MTVHIVE.COM,"Entertainment - Music, Entertainment",54.602,0.024,100,100,,,,,,,
            OMUSICAWARDS.COM,"Entertainment - Music, Entertainment",5.8,0.003,100,100,,,,,,,
        Nickelodeon Kids And Family,Family & Youth,16423.806,7.33,100,100,100,1200.044,577.878,460.655,49596.568,11.652,3.02
            Nickelodeon Kids & Teens,"Family & Youth, Family & Youth - Kids",11875.833,5.3,100,100,100,818.512,395.576,344.995,33734.252,11.726,2.841
                ADDICTINGGAMES.COM,"Family & Youth, Family & Youth - Kids",6057.778,2.704,100,100,100,319.851,120.355,41.528,11932.631,10.086,1.97
                Nick.com Sites,"Family & Youth, Family & Youth - Kids",4932.33,2.201,100,100,100,298.372,106.863,68.839,12045.12,8.872,2.442
                    NICK.COM*,"Family & Youth, Family & Youth - Kids",4735.484,2.114,100,100,100,285.208,102.441,64.666,11573.667,8.851,2.444
                        NICK.COM Games,"Family & Youth, Family & Youth - Kids",2335.575,1.042,100,100,100,152.252,57.094,15.188,5685.172,10.043,2.434
                        Nick.com Sponge Bob,"Family & Youth, Family & Youth - Kids",1873.763,0.836,100,100,100,108.183,21.405,16.208,3957.286,5.409,2.112
                        NICK.COM Nicktoons,"Family & Youth, Family & Youth - Kids",573.389,0.256,100,100,100,30.381,4.139,3.849,1053.76,3.928,1.838
                        Nick.com Club,"Family & Youth, Family & Youth - Kids",308.618,0.138,100,100,100,26.901,3.605,3.645,1030.451,3.498,3.339
                    ICARLY.COM,Entertainment,201.668,0.09,100,100,100,9.306,1.445,1.566,305.801,4.724,1.516
                    THESLAP.COM,"Family & Youth, Family & Youth - Kids",199.826,0.089,100,100,100,9.22,1.817,1.782,300.317,6.051,1.503
                    NICK-ASIA.COM,"Entertainment, Entertainment - TV",31.669,0.014,100,100,100,2.006,0.178,0.25,62.403,2.851,1.97
                    NICKELODEON.COM.AU,"Family & Youth - Kids, Family & Youth",25.31,0.011,100,100,100,0.861,0.117,0.265,27.138,4.315,1.072
                    Nickelodeon UK,"Family & Youth - Kids, Family & Youth",13.48,0.006,100,100,,,,,,,
                        NICK.CO.UK,"Family & Youth - Kids, Family & Youth",13.48,0.006,100,100,,,,,,,
                Nickelodeon Virtual Worlds,"Family & Youth - Kids, Family & Youth",1759.832,0.785,100,100,100,142.414,116.33,219.044,6972.673,16.684,3.962
                    Monkey Quest,"Family & Youth, Family & Youth - Kids",930.637,0.415,100,100,100,45.787,7.057,7.964,1714.335,4.116,1.842
                        MONKEYQUEST.COM,"Family & Youth, Family & Youth - Kids",920.562,0.411,100,100,100,50.548,6.991,7.342,1857.88,3.763,2.018
                    Neopets,"Family & Youth - Kids, Family & Youth",810.014,0.362,100,100,100,82.122,102.523,209.822,4582.243,22.374,5.657
                        NEOPETS.COM,"Family & Youth - Kids, Family & Youth",810.014,0.362,100,100,100,82.122,102.523,209.822,4582.243,22.374,5.657
                    Petpet Park,"Family & Youth - Kids, Family & Youth",135.315,0.06,100,100,100,7.033,3.896,1.259,329.6,11.821,2.436
                        PETPETPARK.COM,"Family & Youth - Kids, Family & Youth",125.159,0.056,100,100,100,6.811,3.79,1.177,319.016,11.882,2.549
                TEENNICK.COM,"Family & Youth, Family & Youth - Teens",1114.584,0.497,100,100,100,28.99,13.177,15.569,1240.079,10.626,1.113
                    Quizilla,"Family & Youth - Teens, Family & Youth",588.739,0.263,100,100,100,14.325,10.069,12.648,635.23,15.85,1.079
                    Teennick Game Pony,"Family & Youth - Teens, Family & Youth",103.031,0.046,100,100,100,4.71,0.417,0.355,159.171,2.619,1.545
            Nickelodeon Family & Parents,"Family & Youth, Family & Youth - Family & Parenting",6169.825,2.754,100,100,100,522.622,182.302,115.66,20762.128,8.78,3.365
                Nick Mom,Family & Youth,3278.128,1.463,100,100,100,195.91,42.355,29.61,7527.146,5.627,2.296
                    NICKMOM.COM,"Family & Youth, Family & Youth - Family & Parenting",2303.629,1.028,100,100,100,117.264,9.016,17.338,4262.999,2.115,1.851
                    SHOCKWAVE.COM,Family & Youth,998.231,0.446,100,100,100,91.603,28.393,10.135,3628.625,7.825,3.635
                Nickjr.com Sites,"Family & Youth, Family & Youth - Family & Parenting",3003.09,1.34,100,100,100,339.081,138.005,85.514,13657.705,10.105,4.548
                    NICKJR.COM,"Family & Youth, Family & Youth - Family & Parenting",2962.378,1.322,100,100,100,332.299,135.807,83.161,13384.543,10.147,4.518
                        NICKJR.COM Parenting,"Family & Youth, Family & Youth - Family & Parenting",2911.186,1.299,100,100,100,325.653,135.091,82.233,13116.854,10.299,4.506
                    NICKJR.CO.UK,"Family & Youth, Family & Youth - Kids",102.953,0.046,100,100,100,4.116,2.198,1.514,164.342,13.376,1.596
                    NICKJR.COM.AU,"Family & Youth, Family & Youth - Kids",31.654,0.014,100,100,,,,,,,
                    NICKJRBOOST.COM,"Family & Youth, Family & Youth Education",6.756,0.003,100,100,,,,,,,
                NICKATNITE.COM,"Entertainment, Entertainment - TV",114.754,0.051,100,100,100,5.738,0.142,0.355,184.574,0.77,1.608
                NICKHOTEL.COM,"Travel - Hotels/Resorts, Travel",26.011,0.012,100,100,,,,,,,
                PARENTSCONNECT.COM*,"Family & Youth, Family & Youth - Family & Parenting",1.847,0.001,100,100,,,,,,,
        Viacom Entertainment Group,Entertainment,8015.461,3.577,100,100,100,523.54,155.34,103.372,20754.139,7.485,2.589
            Comedy Central,"Entertainment, Entertainment - Humor",6145.316,2.743,100,100,100,432.396,120.298,65.868,17601.942,6.834,2.864
                CC.COM*,"Entertainment - Humor, Entertainment",2621.796,1.17,100,100,100,157.661,15.957,15.793,5452.933,2.926,2.08
                    Tosh.comedycentral.com,"Entertainment, Entertainment - Humor",1324.04,0.591,100,100,100,116.565,7.856,7.465,4109.823,1.911,3.104
                    CC Insider,"Entertainment - Humor, Entertainment",0.787,0,100,100,,,,,,,
                SouthParkStudios,"Entertainment - Humor, Entertainment",1733.502,0.774,100,100,100,159.061,67.992,28.712,7412.95,9.172,4.276
                    SOUTHPARKSTUDIOS.COM*,"Entertainment - Humor, Entertainment",1721.886,0.769,100,100,100,158.477,67.759,28.604,7386.321,9.174,4.29
                The Daily Show,"Entertainment - Humor, Entertainment",1706.795,0.762,100,100,100,132.132,21.657,10.571,4724.972,4.584,2.768
                    THEDAILYSHOW.COM,"Entertainment, Entertainment - Humor",1706.701,0.762,100,100,100,132.128,21.657,10.571,4724.832,4.584,2.768
                Colbert Nation,"Entertainment - Humor, Entertainment",982.713,0.439,100,100,100,54.733,10.093,5.399,1981.828,5.093,2.017
                    COLBERTNATION.COM,"Entertainment, Entertainment - Humor",982.65,0.439,100,100,100,54.731,10.093,5.398,1981.757,5.093,2.017
                Jokes.Com Sites,"Entertainment - Humor, Entertainment",384.817,0.172,100,100,100,11.884,1.759,5.352,413.119,4.259,1.074
                INDECISIONFOREVER.COM,"Entertainment - Humor, Entertainment",2.633,0.001,100,100,,,,,,,
            Spike Digital Entertainment,"Entertainment - Multimedia, Entertainment",1993.957,0.89,100,100,100,97.268,31.325,33.709,3382.002,9.262,1.696
                Gametrailers,"Games, Games - Gaming Information",1098.252,0.49,100,100,100,62.808,8.386,11.4,2214.832,3.786,2.017
                    GAMETRAILERS.COM,"Games - Gaming Information, Games",1098.252,0.49,100,100,100,62.808,8.386,11.4,2214.832,3.786,2.017
                        WIKICHEATS,Games,116.27,0.052,100,100,100,5.622,0.408,0.33,193.737,2.104,1.666
                Spike,"Entertainment, Entertainment - TV",989.541,0.442,100,100,100,41.99,22.67,22.309,1408.737,16.093,1.424
